Date,Open,High,Low,Close,Adj Close,Volume
4/23/2003,0.143636,0.143636,0.138181,0.138181,0.110534,126500
4/24/2003,0.143636,0.143636,0.136363,0.141818,0.113443,214500
4/25/2003,0.140909,0.140909,0.135454,0.135454,0.108353,0
4/28/2003,0.134545,0.134545,0.134545,0.134545,0.107626,27500
4/29/2003,0.140909,0.140909,0.134545,0.134545,0.107626,16500
4/30/2003,0.134545,0.134545,0.134545,0.134545,0.107626,49500
5/1/2003,0.134545,0.134545,0.134545,0.134545,0.107626,0
5/2/2003,0.140000,0.140000,0.140000,0.140000,0.111989,11000
5/5/2003,0.145454,0.147272,0.145454,0.147272,0.117806,16500
5/6/2003,0.145454,0.145454,0.140000,0.140000,0.111989,0
5/7/2003,0.141818,0.144545,0.141818,0.144545,0.115625,27500
5/8/2003,0.144545,0.144545,0.144545,0.144545,0.115625,16500
5/9/2003,0.145454,0.145454,0.140000,0.140000,0.111989,0
5/12/2003,0.144545,0.144545,0.144545,0.144545,0.115625,27500
5/13/2003,0.144545,0.145454,0.143636,0.145454,0.116352,49500
5/14/2003,0.145454,0.145454,0.145454,0.145454,0.116352,0
5/15/2003,0.145454,0.145454,0.145454,0.145454,0.116352,0
5/16/2003,0.154545,0.161818,0.152727,0.152727,0.122170,22000
5/19/2003,0.153636,0.153636,0.147272,0.153636,0.122897,27500
5/20/2003,0.149090,0.149090,0.144545,0.144545,0.115625,0
5/21/2003,0.161818,0.161818,0.161818,0.161818,0.129442,11000
5/22/2003,0.162727,0.162727,0.162727,0.162727,0.130169,27500
5/23/2003,0.158181,0.158181,0.158181,0.158181,0.126533,11000
5/26/2003,0.160000,0.162727,0.158181,0.158181,0.126533,104500
5/27/2003,0.156363,0.156363,0.156363,0.156363,0.125078,49500
5/28/2003,0.156363,0.178181,0.156363,0.174545,0.139623,134750
5/29/2003,0.180000,0.185454,0.163636,0.185454,0.148349,192500
5/30/2003,0.180000,0.180000,0.172727,0.172727,0.138168,82500
6/2/2003,0.166363,0.167272,0.164545,0.164545,0.131623,60500
6/3/2003,0.164545,0.164545,0.160909,0.160909,0.128715,0
6/4/2003,0.172727,0.176363,0.163636,0.163636,0.130896,66000
6/5/2003,0.170909,0.172727,0.165454,0.172727,0.138168,167750
6/6/2003,0.170000,0.178181,0.170000,0.178181,0.142531,103950
6/9/2003,0.180000,0.185454,0.180000,0.181818,0.145440,511500
6/10/2003,0.187272,0.189090,0.181818,0.181818,0.145440,591800
6/11/2003,0.180909,0.196363,0.180909,0.196363,0.157075,1296900
6/12/2003,0.198181,0.198181,0.183636,0.185454,0.148349,363550
6/13/2003,0.181818,0.183636,0.178181,0.181818,0.145440,353650
6/16/2003,0.176363,0.178181,0.170909,0.170909,0.136714,143000
6/17/2003,0.172727,0.172727,0.167272,0.172727,0.138168,267300
6/18/2003,0.173636,0.178181,0.169090,0.176363,0.141077,344850
6/19/2003,0.171818,0.172727,0.166363,0.171818,0.137441,99000
6/20/2003,0.174545,0.178181,0.169090,0.176363,0.141077,311300
6/23/2003,0.169090,0.169090,0.169090,0.169090,0.135259,11000
6/24/2003,0.178181,0.178181,0.167272,0.167272,0.133805,71500
6/25/2003,0.163636,0.163636,0.163636,0.163636,0.133065,5500
6/26/2003,0.174545,0.174545,0.165454,0.165454,0.134544,27500
6/27/2003,0.169090,0.178181,0.169090,0.178181,0.144893,134200
6/30/2003,0.172727,0.176363,0.169090,0.169090,0.137501,231000
7/1/2003,0.165454,0.168181,0.165454,0.168181,0.136761,30250
7/2/2003,0.172727,0.176363,0.172727,0.176363,0.143415,112750
7/3/2003,0.176363,0.185454,0.176363,0.179090,0.145632,790900
7/4/2003,0.179090,0.196363,0.179090,0.187272,0.152286,1532850
7/7/2003,0.189090,0.200000,0.189090,0.192727,0.156722,4024350
7/8/2003,0.198181,0.198181,0.178181,0.185454,0.150807,1477300
7/9/2003,0.187272,0.190909,0.181818,0.190909,0.155243,854700
7/10/2003,0.194545,0.201818,0.192727,0.196363,0.159678,3830750
7/11/2003,0.198181,0.198181,0.187272,0.189090,0.153764,1062050
7/14/2003,0.196363,0.196363,0.189090,0.192727,0.156722,1036750
7/15/2003,0.194545,0.201818,0.189090,0.194545,0.158200,1698400
7/16/2003,0.190909,0.194545,0.181818,0.194545,0.158200,1768250
7/17/2003,0.194545,0.207272,0.187272,0.190909,0.155243,3158100
7/18/2003,0.187272,0.194545,0.187272,0.190909,0.155243,392150
7/21/2003,0.198181,0.198181,0.187272,0.192727,0.156722,820050
7/22/2003,0.192727,0.192727,0.192727,0.192727,0.156722,0
7/23/2003,0.187272,0.187272,0.170000,0.170000,0.138241,649000
7/24/2003,0.172727,0.189090,0.168181,0.176363,0.143415,528000
7/25/2003,0.181818,0.181818,0.172727,0.174545,0.141936,305250
7/28/2003,0.170909,0.170909,0.167272,0.167272,0.136022,358600
7/29/2003,0.170000,0.170000,0.168181,0.169090,0.137501,183700
7/30/2003,0.172727,0.176363,0.170000,0.176363,0.143415,532950
7/31/2003,0.174545,0.174545,0.169090,0.169090,0.137501,281050
8/1/2003,0.171818,0.178181,0.170909,0.178181,0.144893,474650
8/4/2003,0.176363,0.176363,0.172727,0.172727,0.140458,0
8/5/2003,0.172727,0.172727,0.166363,0.170909,0.138980,404800
8/6/2003,0.170909,0.170909,0.163636,0.169090,0.137501,394350
8/7/2003,0.171818,0.171818,0.164545,0.164545,0.133805,16500
8/8/2003,0.169090,0.169090,0.169090,0.169090,0.137501,39050
8/11/2003,0.167272,0.170000,0.163636,0.169090,0.137501,140250
8/12/2003,0.167272,0.167272,0.160909,0.167272,0.136022,35200
8/13/2003,0.162727,0.169090,0.162727,0.169090,0.137501,50050
8/14/2003,0.168181,0.172727,0.163636,0.172727,0.140458,79750
8/15/2003,0.168181,0.174545,0.168181,0.174545,0.141936,41250
8/18/2003,0.169090,0.170000,0.167272,0.170000,0.138241,55000
8/19/2003,0.178181,0.178181,0.167272,0.169090,0.137501,143550
8/20/2003,0.174545,0.174545,0.167272,0.167272,0.136022,82500
8/21/2003,0.167272,0.172727,0.167272,0.170909,0.138980,178750
8/22/2003,0.173636,0.176363,0.171818,0.173636,0.141197,524150
8/25/2003,0.181818,0.181818,0.171818,0.175454,0.142676,174350
8/26/2003,0.170909,0.172727,0.168181,0.172727,0.140458,187000
8/27/2003,0.173636,0.175454,0.171818,0.172727,0.140458,176550
8/28/2003,0.175454,0.175454,0.167272,0.169090,0.137501,287650
8/29/2003,0.169090,0.169090,0.169090,0.169090,0.137501,5500
9/1/2003,0.169090,0.169090,0.169090,0.169090,0.137501,0
9/2/2003,0.165454,0.165454,0.163636,0.163636,0.133065,66000
9/3/2003,0.168181,0.168181,0.160000,0.160000,0.130109,123750
9/4/2003,0.163636,0.164545,0.156363,0.164545,0.133805,140250
9/5/2003,0.170909,0.170909,0.160909,0.164545,0.133805,57750
9/8/2003,0.160000,0.160000,0.156363,0.156363,0.127151,176000
9/9/2003,0.157272,0.157272,0.152727,0.152727,0.124195,129250
9/10/2003,0.152727,0.152727,0.149090,0.149090,0.121237,88000
9/11/2003,0.158181,0.158181,0.149090,0.149090,0.121237,0
9/12/2003,0.160000,0.160000,0.149090,0.159090,0.129369,266750
9/15/2003,0.156363,0.156363,0.149090,0.149090,0.121237,0
9/16/2003,0.156363,0.156363,0.154545,0.154545,0.125673,94600
9/17/2003,0.154545,0.154545,0.150909,0.150909,0.122716,110000
9/18/2003,0.152727,0.154545,0.149090,0.154545,0.125673,137500
9/19/2003,0.160000,0.160000,0.152727,0.152727,0.124195,0
9/22/2003,0.152727,0.152727,0.152727,0.152727,0.124195,11000
9/23/2003,0.152727,0.154545,0.151818,0.151818,0.123455,72050
9/24/2003,0.152727,0.180000,0.152727,0.156363,0.127151,368500
9/25/2003,0.163636,0.163636,0.158181,0.158181,0.128630,66000
9/26/2003,0.156363,0.159090,0.154545,0.159090,0.129369,33000
9/29/2003,0.159090,0.161818,0.159090,0.161818,0.131587,77000
9/30/2003,0.160000,0.160000,0.153636,0.153636,0.124934,38500
10/1/2003,0.161818,0.161818,0.161818,0.161818,0.131587,5500
10/2/2003,0.163636,0.174545,0.158181,0.158181,0.128630,247500
10/3/2003,0.160000,0.161818,0.158181,0.161818,0.131587,79200
10/6/2003,0.169090,0.169090,0.155454,0.155454,0.126412,22000
10/7/2003,0.156363,0.156363,0.156363,0.156363,0.127151,16500
10/8/2003,0.161818,0.161818,0.158181,0.161818,0.131587,144100
10/9/2003,0.165454,0.172727,0.165454,0.167272,0.136022,450450
10/10/2003,0.167272,0.167272,0.163636,0.163636,0.133065,104500
10/13/2003,0.172727,0.172727,0.161818,0.162727,0.132326,28600
10/14/2003,0.167272,0.176363,0.166363,0.166363,0.135283,634150
10/15/2003,0.167272,0.173636,0.167272,0.169090,0.137501,478500
10/16/2003,0.170909,0.170909,0.163636,0.163636,0.133065,775500
10/17/2003,0.163636,0.163636,0.163636,0.163636,0.133065,48950
10/20/2003,0.161818,0.163636,0.161818,0.163636,0.133065,44550
10/21/2003,0.163636,0.169090,0.163636,0.163636,0.133065,180950
10/22/2003,0.164545,0.170909,0.163636,0.170909,0.138980,135850
10/23/2003,0.174545,0.174545,0.166363,0.167272,0.136022,247500
10/24/2003,0.167272,0.167272,0.167272,0.167272,0.136022,0
10/27/2003,0.172727,0.185454,0.170909,0.178181,0.144893,1005400
10/28/2003,0.181818,0.183636,0.176363,0.183636,0.149329,572000
10/29/2003,0.183636,0.187272,0.181818,0.183636,0.149329,357500
10/30/2003,0.180000,0.183636,0.176363,0.183636,0.149329,363000
10/31/2003,0.183636,0.183636,0.177272,0.177272,0.144154,256300
11/3/2003,0.180000,0.180000,0.172727,0.180000,0.146372,165000
11/4/2003,0.179090,0.181818,0.179090,0.181818,0.147851,101200
11/5/2003,0.183636,0.183636,0.177272,0.181818,0.147851,680350
11/6/2003,0.185454,0.185454,0.176363,0.180909,0.147112,220550
11/7/2003,0.181818,0.183636,0.176363,0.181818,0.147851,444950
11/10/2003,0.180000,0.181818,0.176363,0.176363,0.143415,159500
11/11/2003,0.180000,0.180000,0.170909,0.176363,0.143415,118800
11/12/2003,0.180000,0.210909,0.180000,0.196363,0.159678,3092100
11/13/2003,0.198181,0.209090,0.187272,0.198181,0.161157,2965050
11/14/2003,0.198181,0.198181,0.181818,0.187272,0.152286,412500
11/17/2003,0.185454,0.203636,0.178181,0.183636,0.149329,3042050
11/18/2003,0.183636,0.189090,0.172727,0.179090,0.145632,734800
11/19/2003,0.174545,0.174545,0.163636,0.169090,0.137501,547800
11/20/2003,0.168181,0.168181,0.167272,0.167272,0.136022,55000
11/21/2003,0.164545,0.180000,0.160000,0.180000,0.146372,385550
11/24/2003,0.180000,0.180000,0.180000,0.180000,0.146372,0
11/25/2003,0.180000,0.180000,0.180000,0.180000,0.146372,0
11/26/2003,0.180000,0.180000,0.180000,0.180000,0.146372,0
11/27/2003,0.169090,0.170000,0.166363,0.170000,0.138241,246950
11/28/2003,0.169090,0.170000,0.167272,0.170000,0.138241,220000
12/1/2003,0.170000,0.176363,0.170000,0.172727,0.140458,115500
12/2/2003,0.172727,0.174545,0.170909,0.170909,0.138980,149050
12/3/2003,0.168181,0.171818,0.168181,0.171818,0.139719,49500
12/4/2003,0.171818,0.173636,0.168181,0.173636,0.141197,159500
12/5/2003,0.172727,0.176363,0.170909,0.176363,0.143415,164450
12/8/2003,0.176363,0.176363,0.176363,0.176363,0.143415,35750
12/9/2003,0.180000,0.180000,0.172727,0.172727,0.140458,170500
12/10/2003,0.176363,0.176363,0.170000,0.171818,0.139719,145200
12/11/2003,0.173636,0.173636,0.163636,0.170909,0.138980,113300
12/12/2003,0.172727,0.172727,0.172727,0.172727,0.140458,11000
12/15/2003,0.167272,0.173636,0.167272,0.173636,0.141197,27500
12/16/2003,0.181818,0.181818,0.166363,0.171818,0.139719,253000
12/17/2003,0.176363,0.176363,0.171818,0.171818,0.139719,11550
12/18/2003,0.165454,0.165454,0.160000,0.163636,0.133065,81950
12/19/2003,0.168181,0.168181,0.159090,0.159090,0.129369,168300
12/22/2003,0.160000,0.163636,0.158181,0.158181,0.128630,273900
12/23/2003,0.158181,0.158181,0.150909,0.150909,0.122716,0
12/24/2003,0.161818,0.161818,0.154545,0.154545,0.125673,0
12/25/2003,0.154545,0.154545,0.154545,0.154545,0.125673,0
12/26/2003,0.154545,0.162727,0.153636,0.162727,0.132326,17050
12/29/2003,0.155454,0.157272,0.155454,0.155454,0.126412,72600
12/30/2003,0.165454,0.166363,0.158181,0.158181,0.128630,55550
12/31/2003,0.161818,0.161818,0.156363,0.156363,0.127151,0
1/1/2004,0.156363,0.156363,0.156363,0.156363,0.127151,0
1/2/2004,0.150909,0.153636,0.150909,0.153636,0.124934,60500
1/5/2004,0.154545,0.154545,0.154545,0.154545,0.125673,55000
1/6/2004,0.163636,0.167272,0.163636,0.163636,0.133065,49500
1/7/2004,0.165454,0.165454,0.156363,0.156363,0.127151,16500
1/8/2004,0.156363,0.163636,0.156363,0.163636,0.133065,32450
1/9/2004,0.168181,0.168181,0.162727,0.162727,0.132326,27500
1/12/2004,0.161818,0.164545,0.158181,0.164545,0.133805,63250
1/13/2004,0.165454,0.165454,0.156363,0.156363,0.127151,0
1/14/2004,0.165454,0.165454,0.160000,0.160000,0.130109,7700
1/15/2004,0.160000,0.163636,0.160000,0.163636,0.133065,11000
1/16/2004,0.157272,0.157272,0.157272,0.157272,0.127890,5500
1/19/2004,0.163636,0.163636,0.160000,0.160000,0.130109,11000
1/20/2004,0.159090,0.165454,0.159090,0.165454,0.134544,11550
1/21/2004,0.165454,0.165454,0.165454,0.165454,0.134544,0
1/22/2004,0.165454,0.165454,0.165454,0.165454,0.134544,0
1/23/2004,0.165454,0.165454,0.165454,0.165454,0.134544,0
1/26/2004,0.165454,0.165454,0.156363,0.156363,0.127151,0
1/27/2004,0.157272,0.164545,0.157272,0.164545,0.133805,16500
1/28/2004,0.163636,0.163636,0.156363,0.156363,0.127151,0
1/29/2004,0.163636,0.163636,0.155454,0.155454,0.126412,0
1/30/2004,0.154545,0.154545,0.153636,0.153636,0.124934,26950
2/2/2004,0.153636,0.153636,0.153636,0.153636,0.124934,0
2/3/2004,0.153636,0.153636,0.153636,0.153636,0.124934,0
2/4/2004,0.160000,0.160000,0.149090,0.149090,0.121237,0
2/5/2004,0.160000,0.160000,0.150909,0.150909,0.122716,0
2/6/2004,0.153636,0.155454,0.153636,0.154545,0.125673,430650
2/9/2004,0.160000,0.160000,0.150909,0.156363,0.127151,61050
2/10/2004,0.150000,0.157272,0.149090,0.157272,0.127890,77000
2/11/2004,0.154545,0.157272,0.154545,0.157272,0.127890,20900
2/12/2004,0.157272,0.157272,0.157272,0.157272,0.127890,6050
2/13/2004,0.154545,0.154545,0.152727,0.152727,0.124195,55000
2/16/2004,0.160000,0.160000,0.148181,0.159090,0.129369,16500
2/17/2004,0.158181,0.158181,0.158181,0.158181,0.128630,6050
2/18/2004,0.156363,0.156363,0.156363,0.156363,0.127151,27500
2/19/2004,0.162727,0.162727,0.152727,0.152727,0.124195,126500
2/20/2004,0.160000,0.160000,0.151818,0.154545,0.125673,80300
2/23/2004,0.154545,0.154545,0.154545,0.154545,0.125673,0
2/24/2004,0.158181,0.160000,0.154545,0.156363,0.127151,224950
2/25/2004,0.156363,0.158181,0.154545,0.158181,0.128630,176000
2/26/2004,0.162727,0.162727,0.156363,0.160000,0.130109,341550
2/27/2004,0.160909,0.163636,0.158181,0.158181,0.128630,420750
3/1/2004,0.152727,0.158181,0.152727,0.158181,0.128630,59950
3/2/2004,0.161818,0.163636,0.161818,0.163636,0.133065,110000
3/3/2004,0.152727,0.152727,0.152727,0.152727,0.124195,33000
3/4/2004,0.158181,0.158181,0.149090,0.150909,0.122716,231000
